BenchmarkName,Compiler,Optimization,Backend,Adapter,Ioq,NumKernels,KernelExecTime,MeasureCompletion,MedianTime
SubmitKernel,dpcpp,O0,sycl,v1,0,1,1,0,4.851
SubmitKernel,dpcpp,O0,sycl,v1,0,1,1,1,9.126
SubmitKernel,dpcpp,O0,sycl,v1,0,1,5,1,9.567
SubmitKernel,dpcpp,O0,sycl,v1,0,1,10,1,11.122
SubmitKernel,dpcpp,O0,sycl,v1,0,1,100,1,42.558
SubmitKernel,dpcpp,O0,sycl,v1,1,1,1,0,4.885
SubmitKernel,dpcpp,O0,sycl,v1,1,1,1,1,8.430
SubmitKernel,dpcpp,O0,sycl,v1,1,1,5,1,9.431
SubmitKernel,dpcpp,O0,sycl,v1,1,1,10,1,11.390
SubmitKernel,dpcpp,O0,sycl,v1,1,1,100,1,42.645
SubmitKernel,dpcpp,O0,sycl,v1,0,10,1,0,44.634
SubmitKernel,dpcpp,O0,sycl,v1,0,10,1,1,49.828
SubmitKernel,dpcpp,O0,sycl,v1,0,10,5,1,51.915
SubmitKernel,dpcpp,O0,sycl,v1,0,10,10,1,52.442
SubmitKernel,dpcpp,O0,sycl,v1,0,10,100,1,80.233
SubmitKernel,dpcpp,O0,sycl,v1,1,10,1,0,47.270
SubmitKernel,dpcpp,O0,sycl,v1,1,10,1,1,50.738
SubmitKernel,dpcpp,O0,sycl,v1,1,10,5,1,55.105
SubmitKernel,dpcpp,O0,sycl,v1,1,10,10,1,59.060
SubmitKernel,dpcpp,O0,sycl,v1,1,10,100,1,364.246
SubmitKernel,dpcpp,O0,sycl,v1,0,20,1,0,89.537
SubmitKernel,dpcpp,O0,sycl,v1,0,20,1,1,94.298
SubmitKernel,dpcpp,O0,sycl,v1,0,20,5,1,95.410
SubmitKernel,dpcpp,O0,sycl,v1,0,20,10,1,98.074
SubmitKernel,dpcpp,O0,sycl,v1,0,20,100,1,133.115
SubmitKernel,dpcpp,O0,sycl,v1,1,20,1,0,94.063
SubmitKernel,dpcpp,O0,sycl,v1,1,20,1,1,98.271
SubmitKernel,dpcpp,O0,sycl,v1,1,20,5,1,101.193
SubmitKernel,dpcpp,O0,sycl,v1,1,20,10,1,106.999
SubmitKernel,dpcpp,O0,sycl,v1,1,20,100,1,706.636
SubmitKernel,dpcpp,O0,sycl,v1,0,50,1,0,223.291
SubmitKernel,dpcpp,O0,sycl,v1,0,50,1,1,227.121
SubmitKernel,dpcpp,O0,sycl,v1,0,50,5,1,231.929
SubmitKernel,dpcpp,O0,sycl,v1,0,50,10,1,238.400
